ecosystem,name,version,license,repository
"npm","lodash.debounce","4.0.8","MIT","https://github.com/lodash/lodash"
"npm","lodash.kebabcase","4.1.1","MIT","https://github.com/lodash/lodash"
"npm","lodash.throttle","4.1.1","MIT","https://github.com/lodash/lodash"
"npm","loose-envify","1.4.0","MIT","https://github.com/zertosh/loose-envify"
"npm","markdown-it-front-matter","0.2.4","MIT","https://github.com/ParkSB/markdown-it-front-matter"
"npm","markdown-it-task-lists","2.1.1","ISC","https://github.com/revin/markdown-it-task-lists"
"npm","markdown-it","14.2.0","MIT","https://github.com/markdown-it/markdown-it"
"npm","marked","16.4.2","MIT","https://github.com/markedjs/marked"
"npm","mathjax-full","3.2.2","Apache-2.0","https://github.com/mathjax/Mathjax-src"
"npm","md-reader","1.0.0","UNLICENSED",""
"npm","mdast-util-from-markdown","1.3.1","MIT","https://github.com/syntax-tree/mdast-util-from-markdown"
"npm","mdast-util-to-hast","13.2.1","MIT","https://github.com/syntax-tree/mdast-util-to-hast"
"npm","mdast-util-to-string","3.2.0","MIT","https://github.com/syntax-tree/mdast-util-to-string"
"npm","mdurl","2.0.0","MIT","https://github.com/markdown-it/mdurl"
"npm","mermaid","10.9.6","MIT","https://github.com/mermaid-js/mermaid"
"npm","mermaid","11.15.0","MIT","https://github.com/mermaid-js/mermaid"
"npm","mhchemparser","4.2.1","Apache-2.0","https://github.com/mhchem/mhchemParser"
"npm","micromark-core-commonmark","1.1.0","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-core-commonmark"
"npm","micromark-factory-destination","1.1.0","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-factory-destination"
"npm","micromark-factory-label","1.1.0","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-factory-label"
"npm","micromark-factory-space","1.1.0","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-factory-space"
"npm","micromark-factory-title","1.1.0","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-factory-title"
"npm","micromark-factory-whitespace","1.1.0","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-factory-whitespace"
"npm","micromark-util-character","1.2.0","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-character"
"npm","micromark-util-character","2.1.1","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-character"
"npm","micromark-util-chunked","1.1.0","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-chunked"
"npm","micromark-util-classify-character","1.1.0","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-classify-character"
"npm","micromark-util-combine-extensions","1.1.0","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-combine-extensions"
"npm","micromark-util-decode-numeric-character-reference","1.1.0","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-decode-numeric-character-reference"
"npm","micromark-util-decode-string","1.1.0","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-decode-string"
"npm","micromark-util-encode","1.1.0","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-encode"
"npm","micromark-util-encode","2.0.1","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-encode"
"npm","micromark-util-html-tag-name","1.2.0","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-html-tag-name"
"npm","micromark-util-normalize-identifier","1.1.0","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-normalize-identifier"
"npm","micromark-util-resolve-all","1.1.0","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-resolve-all"
"npm","micromark-util-sanitize-uri","1.2.0","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-sanitize-uri"
"npm","micromark-util-sanitize-uri","2.0.1","MIT","https://github.com/micromark/micromark/tree/main/packages/micromark-util-sanitize-uri"
